Molecular Weight,Isoelectric Point,Net Charge,Average Hydropathy Value,Aliphatic index,DNA Hits,RNA Hits,Class
59166.8972,9.817634583,53.94679813,-1.042885375,45.71146245,47,0,DNA
56589.8509,8.516029358,4.421138981,-0.561350844,48.96810507,36,0,DNA
36982.0038,7.492881775,2.298725899,-0.668555241,55.7223796,13,0,DNA
42802.6451,5.830680847,-4.946195183,-0.306930693,83.24257426,5,0,DNA
54461.7659,6.277153015,-3.516524518,-0.364876033,84.04958678,0,0,DNA
47958.6245,9.881721497,38.5626971,-0.825178147,53.25415677,47,0,DNA
73667.5802,5.837516785,-11.89537208,-0.568571429,64.4962406,14,0,DNA
44273.3474,5.752067566,-6.782793217,-0.808184143,60.89514066,26,0,DNA
51503.6718,4.727210999,-28.10035344,-0.614377682,84.29184549,83,34,DNA
8404.6021,5.151252747,-3.387093008,-0.719444444,86.66666667,0,0,DNA
68761.7513,6.399452209,-4.068105237,-0.486421725,72.28434505,20,0,DNA
91685.9807,6.218299866,-8.360494545,-0.46272838,77.11327649,4,0,DNA
18015.6197,7.04875946,0.099661662,-0.36025641,88.20512821,0,0,DNA
66607.1394,9.320960999,35.89626906,-0.764958678,54.72727273,48,0,DNA
21062.233,10.85541534,54.63503982,-1.12244898,56.93877551,22,0,DNA
113083.7908,8.990379333,23.14015007,-0.536489152,79.1321499,14,0,DNA
12140.7541,5.397880554,-4.214132476,-0.747619048,78.0952381,26,0,DNA
118636.6912,5.823951721,-14.6933957,-0.293930906,83.7535014,3,3,DNA
17401.1245,5.150184631,-3.467245992,-0.552727273,56.78787879,30,0,DNA
13508.6861,10.58037567,14.02586116,-0.309375,93.90625,83,0,DNA
13552.7393,10.58037567,14.02586116,-0.3109375,94.609375,83,0,DNA
22743.2488,9.251747131,2.730060782,-0.354081633,99.13265306,45,0,DNA
75875.9284,5.551795959,-12.36295548,-0.551436782,70.02873563,38,0,DNA
34250.3789,7.695716858,1.045054478,-0.44295302,77.81879195,4,4,DNA
58539.4472,5.379295349,-16.3183591,-0.837377691,66.77103718,5,6,DNA
14507.4382,5.303993225,-4.295872281,-0.526771654,80.62992126,18,0,DNA
16687.1626,7.666664124,0.730087796,-0.349659864,79.65986395,0,0,DNA
11555.3121,10.40200043,6.6986369,-0.479439252,89.43925234,18,834,DNA
68190.0099,6.069618225,-7.2190561,-0.393884298,78.11570248,37,12,DNA
17316.3267,9.134468079,3.614158689,-0.991975309,50.74074074,9,0,DNA
81053.3286,7.318885803,1.235820259,-0.610354223,61.45776567,6,0,DNA
80342.8686,8.076072693,2.822822399,-0.590784044,62.94360385,7,0,DNA
61139.6544,9.140342712,19.6474039,-0.450805009,69.60644007,5,0,DNA
7757.6724,8.363502502,0.600653945,-0.506944444,77.36111111,0,0,DNA
51790.0199,5.918907166,-14.88497315,-0.604612159,61.99161426,39,0,DNA
8232.4928,4.995307922,-4.315823133,-0.356944444,108.3333333,139,33,DNA
8615.7835,4.953544617,-2.480824678,-0.251898734,91.39240506,10,0,DNA
55863.3008,9.753974915,27.7897877,-0.707258065,70.80645161,31,0,DNA
23684.2943,9.80342865,6.043089447,-0.073023256,97.1627907,14,0,DNA
26433.366,5.458015442,-7.829514015,-0.372052402,85.45851528,14,0,DNA
71422.2344,6.445594788,-5.213411985,-0.753930818,70.70754717,28,0,DNA
15355.9295,11.43497467,21.68070733,-0.677941176,81.91176471,156,97,DNA
15404.0859,11.12693024,19.66289335,-0.579411765,80.51470588,146,0,DNA
15388.0253,11.26931,19.67279434,-0.603676471,80.51470588,146,0,DNA
15327.9114,11.26931,19.67279434,-0.618382353,81.25,131,71,DNA
15213.7362,11.1052475,17.66489135,-0.582962963,83.25925926,135,71,DNA
15487.2625,11.13707733,20.66189435,-0.568382353,82.64705882,101,0,DNA
35783.1824,9.572181702,11.00439031,-0.471197411,100.0647249,12,0,DNA
44712.5693,5.801948547,-17.86861986,-0.764492754,61.23188406,44,0,DNA
41033.5182,5.331871033,-9.024866337,-0.329189189,79.13513514,37,0,DNA
50771.3116,8.205848694,4.078627027,-0.379004329,73.87445887,0,0,DNA
8501.8159,6.138404846,-0.500722658,-0.003846154,105,6,0,DNA
19443.664,4.686302185,-11.30967382,-0.553977273,85.51136364,25,1,DNA
73457.3462,8.125312805,4.719357136,-0.381818182,81.61787365,7,2,DNA
8433.5679,6.565437317,-0.391513609,-0.155128205,105.1282051,10,0,DNA
59875.4737,5.192695618,-13.8184591,-0.160822898,85.9391771,6,126,DNA
69560.813,6.195869446,-4.575102498,-0.454262295,76.49180328,38,24,DNA
38174.8127,6.279289246,-2.773574442,-0.239882698,83.87096774,20,10,DNA
131101.9827,6.231971741,-8.433941943,-0.742072631,81.80690877,78,17,DNA
14762.2724,9.233589172,7.670459018,0.178195489,94.5112782,2,0,DNA
22299.0873,9.706871033,11.82570323,-0.041919192,99.54545455,188,38,DNA
14803.0596,9.694801331,7.84746281,-0.744444444,82.77777778,42,0,DNA
46625.8144,6.544075012,-2.260343324,-0.617209302,65.88372093,49,0,DNA
34419.5156,5.537483215,-5.240693118,-0.444520548,82.0890411,30,0,DNA
57837.9782,5.430458069,-17.03352942,-0.796862745,53.56862745,60,2,DNA
55130.8368,5.700370789,-12.1267646,-0.876519916,49.47589099,65,2,DNA
85956.9966,6.094932556,-9.505635026,-0.694888598,78.23066841,11,1,DNA
55637.102,6.801490784,-0.685174839,-0.4574,70.18,27,0,DNA
128254.5701,9.379707336,45.39017013,-0.868466899,67.15156794,12,3,DNA
81624.025,5.780479431,-13.86703882,-0.547316384,74.92937853,33,0,DNA
42149.1945,9.082344055,6.287441771,-0.520204604,69.05370844,26,0,DNA
35557.8994,8.612266541,4.020628534,-0.447540984,85.96721311,5,0,DNA
57260.4987,5.020301819,-21.32075867,-0.387145558,80.35916824,20,0,DNA
55244.4971,8.33391571,5.342958935,-0.408464567,73.40551181,0,0,DNA
48460.3334,7.809257507,2.172559723,-0.246547884,75.14476615,19,0,DNA
143534.6235,7.810005188,5.50127529,-0.01201748,102.0611799,54,20,DNA
58265.8314,6.854789734,-0.514588974,-0.397647059,83.35294118,27,11,DNA
33144.891,6.664451599,-0.878193898,-0.355017301,83.07958478,4,0,DNA
14342.747,6.845603943,-0.208958189,-0.854961832,49.3129771,3,0,DNA
24286.0982,9.725349426,9.195488419,-0.212785388,87.39726027,3,0,DNA
87662.49,6.373283386,-4.985230968,-0.470332481,71.72634271,32,0,DNA
46899.5171,7.684501648,0.95837747,-0.360556845,82.34338747,50,0,DNA
50811.3233,7.92023468,2.746268523,-0.308874459,78.74458874,12,0,DNA
104904.1236,6.144920349,-8.726545856,-0.385930736,84.20995671,0,0,DNA
58448.009,8.738731384,6.639120591,-0.682738095,76.42857143,23,188,DNA
81989.8836,5.857276917,-11.82906273,-0.457916667,84.72222222,35,0,DNA
42123.8119,8.384117126,5.085864851,-0.571195652,69.07608696,6,0,DNA
15185.4637,5.311683655,-2.487452272,-0.369230769,116.1538462,8,0,DNA
49659.1303,5.317024231,-11.78555148,-0.166974596,96.76674365,29,0,DNA
92093.4009,8.634590149,9.052935784,-1.287207872,50.11070111,0,0,DNA
24927.6333,9.028083801,4.762778438,-0.524299065,82.89719626,155,111,DNA
41691.9367,6.529441833,-1.699509569,-0.742021277,63.96276596,43,0,DNA
15892.8547,5.827476501,-2.310259878,-0.889130435,67.97101449,67,0,DNA
43653.1777,6.329704285,-3.475066903,-0.756234097,59.08396947,12,0,DNA
43155.0596,6.833747864,-0.586757437,-0.604134367,65.27131783,29,0,DNA
16172.3192,5.925422668,-2.212605893,-0.669784173,80.71942446,16,0,DNA
8959.4262,5.587471008,-2.306632843,0.079012346,116.6666667,76,0,DNA
82785.3975,6.508399963,-5.70954444,-0.979917469,55.36451169,41,0,DNA
75711.5497,8.613121033,13.98184533,-1.067073171,55.50304878,10,0,DNA
90627.3265,5.449897766,-17.31222907,-0.176695438,101.6029593,30,0,DNA
100153.2962,5.780586243,-12.16832289,-0.428555305,81.09480813,12,0,DNA
48328.5427,6.873695374,-0.443849251,-0.484792627,70.1843318,0,0,DNA
12729.6856,8.025016785,0.779494682,-0.023728814,99.3220339,4,0,DNA
19254.1673,5.973701477,-4.762341061,-0.250292398,87.30994152,12,0,DNA
49589.4125,5.83367157,-8.421918467,-0.794036697,58.62385321,0,0,DNA
40929.5613,5.021690369,-15.91056941,-0.341436464,83.25966851,28,4,DNA
34232.9868,5.328987122,-9.828174932,-0.679245283,60.62893082,14,4,DNA
46840.4477,9.089393616,10.17269507,-0.475689223,97.46867168,17,0,DNA
7667.0189,9.593437195,2.605732908,-0.253623188,109.1304348,23,0,DNA
34531.9673,6.769020081,-0.674471938,-0.144078947,103.2894737,10,0,DNA
17002.7938,6.314537048,-1.221860964,-0.440816327,102.1768707,33,0,DNA
42214.6999,8.78818512,5.371777968,-0.692287234,79.44148936,8,0,DNA
30675.6667,9.154441833,8.885222985,-0.569014085,58.20422535,40,0,DNA
119447.3771,6.546958923,-4.251387531,-0.239171375,97.02448211,3,119,DNA
132374.7693,8.894035339,23.56146418,-0.746464646,69.4023569,5,0,DNA
47945.5408,8.327827454,3.620431856,-0.473943662,70.98591549,0,0,DNA
29174.5503,6.249595642,-4.262591951,-0.642641509,63.50943396,17,1,DNA
7363.48,9.754402161,4.588303534,-0.486363636,72.57575758,15,0,DNA
55975.6811,5.834846497,-9.364297019,-0.453939394,75.27272727,31,0,DNA
37371.0164,7.252128601,0.733833457,-0.625698324,60.72625698,25,0,DNA
96749.1769,5.838371277,-17.92312892,-0.412,79.92222222,39,4,DNA
9224.8895,7.986671448,0.603466605,-0.065822785,113.4177215,36,0,DNA
73606.07,5.385490417,-20.00469936,-0.136661699,96.6318927,12,11,DNA
38953.5697,9.794242859,21.95115504,-0.390379009,87.81341108,29,0,DNA
74484.4983,4.965293884,-29.09759316,-0.448363095,83.97321429,12,0,DNA
16169.7514,8.639503479,1.770735672,-0.267132867,117.2727273,14,0,DNA
24996.7878,8.790748596,2.69509657,-0.227272727,100.5909091,8,0,DNA
107067.4823,7.220405579,1.085905921,-0.420934959,68.92276423,0,0,DNA
35173.9274,6.859596252,-0.208003977,-0.197118156,79.02017291,35,1,DNA
47967.9152,9.470497131,20.09705305,-0.656207675,53.97291196,25,6,DNA
19765.606,9.535118103,11.26393979,-0.754597701,76.09195402,0,0,DNA
28352.737,5.992073059,-3.871318791,-0.268825911,103.3603239,11,0,DNA
11239.9312,9.344459534,2.507272091,-0.530612245,86.42857143,40,0,DNA
64464.072,8.996253967,10.75584175,-0.313874788,72.58883249,7,0,DNA
66219.3272,9.157325745,12.60687193,-0.348885077,93.12178388,0,0,DNA
117904.4726,6.982215881,-0.166432755,-0.702531646,54.7920434,45,0,DNA
14804.6184,9.464729309,11.75549852,-0.1875,79.921875,6,0,DNA
34917.7204,9.461204529,12.54698738,-0.464814815,69.19753086,36,0,DNA
162041.8967,8.880577087,22.86583618,-0.498466899,83.16376307,0,0,DNA
64111.0372,7.25276947,0.885976039,-0.433693694,86.9009009,25,4,DNA
57620.1519,5.610435486,-12.29663607,-0.308118812,86.31683168,6,0,DNA
70708.5432,5.592704773,-12.31138599,-0.8964687,59.45425361,0,0,DNA
26629.9779,8.431114197,2.055320049,-0.121008403,103.2352941,13,6,DNA
94103.2476,8.588127136,10.81548191,-0.616666667,74.11347518,32,0,DNA
24893.7603,5.601676941,-5.194263917,-1.610232558,30.09302326,60,10,DNA
10711.5752,9.300987244,3.597052538,-0.238709677,111.0752688,16,0,DNA
22378.091,8.491569519,2.0392414,-0.251794872,103.4871795,6,0,DNA
28352.5278,9.655067444,10.84911881,-0.575903614,75.62248996,23,188,DNA
23389.4983,5.988868713,-3.038512402,-0.565346535,80.0990099,0,0,DNA
75707.1505,9.437492371,31.63471403,-0.63184438,71.42651297,27,0,DNA
38638.9598,9.583396912,12.72641676,-0.575342466,62.93150685,50,0,DNA
